date,LUV,DAL,AA,ETFC,cash,shares_LUV,shares_DAL,shares_AA,shares_ETFC,eq_value,portfolio
2012-03-29 16:00:00,8.38,1.0,9.96,10.9,9021.0,0,0,100,0,996.0000000000001,10017.0
2012-03-30 16:00:00,8.22,1.0,9.95,10.95,8921.0,0,100,100,0,1095.0,10016.0
2012-04-02 16:00:00,8.24,1.0,10.1,11.09,8921.0,0,100,100,0,1110.0,10031.0
2012-04-03 16:00:00,8.18,1.0,9.99,11.05,8921.0,0,100,100,0,1099.0,10020.0
2012-04-04 16:00:00,8.36,1.0,9.74,10.69,8921.0,0,100,100,0,1074.0,9995.0
2012-04-05 16:00:00,8.29,1.0,9.56,10.66,8921.0,0,100,100,0,1056.0,9977.0
2012-04-09 16:00:00,8.2,1.0,9.53,10.38,9021.0,0,0,100,0,952.9999999999999,9974.0
2012-04-10 16:00:00,7.89,1.0,9.26,10.05,8921.0,0,100,100,0,1026.0,9947.0
2012-04-11 16:00:00,7.93,1.0,9.83,10.32,8921.0,0,100,100,0,1083.0,10004.0
2012-04-12 16:00:00,8.12,1.0,10.1,10.66,9931.0,0,100,0,0,100.0,10031.0
2012-04-13 16:00:00,7.92,1.0,9.78,10.06,8953.0,0,100,100,0,1078.0,10031.0
2012-04-16 16:00:00,7.97,1.0,9.79,9.91,7962.0,0,100,100,100,2070.0,10032.0
2012-04-17 16:00:00,8.06,1.0,9.92,10.11,8062.0,0,0,100,100,2003.0,10065.0
2012-04-18 16:00:00,7.87,1.0,9.88,9.97,8062.0,0,0,100,100,1985.0000000000002,10047.0
2012-04-19 16:00:00,8.21,1.0,9.69,9.88,8062.0,0,0,100,100,1957.0,10019.0
2012-04-20 16:00:00,7.89,1.0,9.63,10.48,9025.0,0,0,0,100,1048.0,10073.0
2012-04-23 16:00:00,7.86,1.0,9.56,10.27,10052.0,0,0,0,0,0.0,10052.0
